height_cm,weight_kg,goal,meal,food_item,calories,protein_g,carbs_g,fat_g
176,76,Balanced Diet,Dinner,Chole Masala with Paratha,480,20,65,14
158,76,Balanced Diet,Dinner,Lauki Dal with Brown Rice,470,16,60,10
164,83,Balanced Diet,Dinner,Palak Dal with Roti,460,15,58,9
164,70,Balanced Diet,Dinner,Vegetable Stew with Rice,480,12,70,8
175,79,Balanced Diet,Dinner,Masoor Dal with Whole Wheat Roti,450,18,55,7
162,82,Balanced Diet,Dinner,Bhindi Sabzi with Jeera Rice,470,12,65,9
181,77,Balanced Diet,Dinner,Vegetable Khichdi,440,14,65,8
188,96,Balanced Diet,Dinner,Tofu Bhurji with Chapati,450,20,50,10
181,82,Balanced Diet,Snack,Handful of Almonds and Walnuts,200,8,10,16
153,54,Balanced Diet,Snack,Greek Yogurt with Berries,180,12,18,5
179,97,Balanced Diet,Snack,Peanut Butter on Whole Wheat Toast,250,10,30,12
186,68,Balanced Diet,Snack,Hummus with Carrot and Cucumber Sticks,190,8,20,10
172,53,Balanced Diet,Snack,Roasted Chana with Nuts,220,12,18,14
188,84,Balanced Diet,Snack,Boiled Eggs with Salt and Pepper,140,12,2,8
164,98,Balanced Diet,Snack,Fruit Salad with Yogurt,200,6,35,5
178,66,Balanced Diet,Snack,Makhana (Fox Nuts) Roasted,160,4,30,6
185,93,Balanced Diet,Snack,Paneer Tikka,230,20,5,12
162,77,Balanced Diet,Snack,Chia Seeds with Almond Milk,190,8,18,10
181,79,Balanced Diet,Snack,Homemade Protein Bar,250,15,30,12
156,78,Athlete,Breakfast,Oats with Banana and Peanut Butter,450,20,60,15
171,95,Athlete,Breakfast,Paneer Paratha with Curd,500,25,65,18
177,55,Athlete,Breakfast,Masala Oats with Boiled Egg,420,22,50,14
151,84,Athlete,Breakfast,Multigrain Toast with Scrambled Eggs,470,28,45,16
155,90,Athlete,Breakfast,Idli with Peanut Chutney,380,12,65,10
177,86,Athlete,Breakfast,Poha with Sprouts and Nuts,390,15,55,12
177,73,Athlete,Breakfast,Dosa with Egg Bhurji,430,20,60,14
169,78,Athlete,Breakfast,Ragi Malt with Almonds and Jaggery,400,14,70,8
179,98,Athlete,Breakfast,Whole Wheat Pancakes with Honey,450,12,75,10
160,95,Athlete,Breakfast,Chia Pudding with Dates and Nuts,420,15,65,12
177,80,Athlete,Breakfast,Methi Thepla with Peanut Chutney,460,18,70,14
174,84,Athlete,Breakfast,Vegetable Upma with Paneer,440,20,65,12
188,82,Athlete,Breakfast,Chickpea Salad with Boiled Eggs,430,22,55,14
182,70,Athlete,Breakfast,Sprouts Chaat with Roasted Peanuts,410,18,50,10
150,81,Athlete,Lunch,Grilled Chicken with Brown Rice and Steamed Vegetables,600,50,60,12
176,72,Athlete,Lunch,Paneer Bhurji with Whole Wheat Chapati,580,35,70,16
162,82,Athlete,Lunch,Lentil Dal with Quinoa and Ghee,550,22,75,14
152,52,Athlete,Lunch,Rajma Chawal with Ghee,590,25,80,12
188,67,Athlete,Lunch,Grilled Fish with Sweet Potato Mash,570,45,55,14
155,74,Athlete,Lunch,Chole with Rice and Salad,580,28,80,10
157,91,Athlete,Lunch,Soya Chunk Curry with Brown Rice,600,50,75,12
176,80,Athlete,Lunch,Vegetable Biryani with Paneer,620,30,85,15
158,52,Athlete,Lunch,Quinoa Salad with Chicken and Nuts,610,40,60,18
186,89,Athlete,Lunch,Mixed Sprouts Khichdi with Yogurt,580,28,80,10
182,95,Athlete,Dinner,Grilled Salmon with Quinoa,620,50,55,18
173,73,Athlete,Dinner,Tofu Stir Fry with Whole Wheat Noodles,600,35,75,14
164,99,Athlete,Dinner,Masoor Dal with Jeera Rice,580,22,80,12
181,81,Athlete,Dinner,Baingan Bharta with Roti and Yogurt,570,20,75,10
181,96,Athlete,Dinner,Chicken Tikka with Brown Rice,610,50,60,15
173,71,Athlete,Dinner,Palak Paneer with Roti,590,30,65,14
161,72,Athlete,Dinner,Vegetable Dalia with Nuts,600,22,85,10
188,51,Athlete,Dinner,Mushroom Masala with Quinoa,580,25,70,12
151,76,Athlete,Dinner,Soya Granules with Whole Wheat Chapati,600,45,70,12
152,91,Athlete,Dinner,Boiled Sweet Potato with Paneer Tikka,590,28,80,14
186,51,Athlete,Snack,Boiled Eggs with Cheese,250,20,5,18
166,75,Athlete,Snack,Peanut Butter on Whole Wheat Toast,300,15,35,12
151,66,Athlete,Snack,Greek Yogurt with Almonds and Honey,280,18,20,10
151,89,Athlete,Snack,Roasted Chana with Jaggery,260,15,30,8
177,82,Athlete,Snack,Steamed Edamame with Salt,270,22,25,8
172,58,Athlete,Snack,Chia Seed Pudding with Almond Milk,290,12,30,14
186,92,Athlete,Snack,Paneer Cubes with Chutney,310,25,10,18
181,97,Athlete,Snack,Fruit Salad with Yogurt and Chia Seeds,280,10,45,6
